id,description,service_item_id
150800005,"Cancelamento de contrato de crédito",1508
150800006,"Registro de contrato de crédito",1508
150800007,"Estudo, análise e avaliação de operações de crédito",1508
150800008,"Emissão de aval, fiança, anuência e congêneres",1508
150800009,"Concessão de aval, fiança, anuência e congêneres",1508
150800010,"Alteração de aval, fiança, anuência e congêneres",1508
150800011,"Contratação de aval, fiança, anuência e congêneres",1508
150800012,"Serviços relativos a abertura de crédito não abrangidas em outros itens/subitens, para quaisquer fins.",1508
150900001,"Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações", 1509
150900002,"Substituição de garantia", 1509
150900003,"Alteração de contrato de leasing", 1509
150900004,"Cancelamento de contrato de leasing", 1509
150900005,"Registro de contrato de leasing", 1509
150900006,"Demais serviços relacionados ao arrendamento mercantil (leasing)", 1509
151000001,"Serviços relacionados a cobranças e recebimentos em geral de títulos quaisquer efetuados por qualquer meio", 1510
151000002,"Serviços relacionados a cobranças e recebimentos de contas em geral efetuados por qualquer meio", 1510
151000003,"Serviços relacionados a cobranças e recebimentos de carnês em geral efetuados por qualquer meio", 1510
151000004,"Serviços relacionados a cobranças e recebimentos de câmbio em geral efetuados por qualquer meio", 1510
151000005,"Serviços relacionados a recebimentos de tributos em geral efetuados por qualquer meio", 1510
151000006,"Serviços relacionados a cobranças e recebimentos por conta de terceiros em geral efetuados por qualquer meio", 1510
151000007,"Serviços relacionados a pagamentos em geral de títulos quaisquer efetuados por qualquer meio", 1510
151000008,"Serviços relacionados a pagamentos de contas em geral efetuados por qualquer meio", 1510
151000009,"Serviços relacionados a pagamentos de carnês em geral efetuados por qualquer meio", 1510
151000010,"Serviços relacionados a pagamentos de câmbio em geral efetuados por qualquer meio", 1510
151000011,"Serviços relacionados a pagamentos de tributos em geral efetuados por qualquer meio", 1510
151000012,"Serviços relacionados a pagamentos por conta de terceiros em geral efetuados por qualquer meio", 1510
151000013,"Fornecimento de posição de cobrança", 1510
151000014,"Fornecimento de posição de recebimento", 1510
151000015,"Fornecimento de posição de pagamento", 1510
151000016,"Emissão de carnês", 1510
151000017,"Emissão de fichas de compensação", 1510
151000018,"Emissão de impressos e documentos em geral", 1510
151100001,"Devolução de títulos", 1511
151100002,"Protesto de títulos", 1511
151100003,"Sustação de protesto", 1511
151100004,"Manutenção de títulos", 1511
151100005,"Reapresentação de títulos", 1511
151100006,"Demais serviços relacionados a títulos em cobrança", 1511
151200001,"Custódia em geral, inclusive de títulos e valores mobiliários", 1512
151300001,"Edição de contrato de câmbio", 1513
151300002,"Alteração de contrato de câmbio", 1513
151300003,"Prorrogação de contrato de câmbio", 1513
151300004,"Cancelamento de contrato de câmbio", 1513
151300005,"Baixa de contrato de câmbio", 1513
151300006,"Emissão de registro de exportação", 1513
151300007,"Emissão de registro de crédito", 1513
151300008,"Cobrança no exterior", 1513
151300009,"Depósito no exterior", 1513
151300010,"Emissão e fornecimento de cheques de viagem", 1513
151300011,"Cancelamento de cheques de viagem", 1513
151300012,"Fornecimento de carta de crédito de importação", 1513
151300013,"Transferência de carta de crédito de importação", 1513
151300014,"Cancelamento de carta de crédito de importação", 1513
151300015,"Demais serviços relativos à carta de crédito de importação", 1513
151300016,"Fornecimento de carta de crédito de exportação", 1513
151300017,"Transferência de carta de crédito de exportação", 1513
151300018,"Cancelamento de carta de crédito de exportação", 1513
151300019,"Demais serviços relativos à carta de crédito de exportação", 1513
151300020,"Serviços relativos a garantias recebidas", 1513
151300021,"Envio de mensagens em geral relacionadas a operações de câmbio", 1513
151300022,"Recebimento de mensagens em geral relacionadas a operações de câmbio", 1513
151300023,"Demais serviços relacionados à operação de câmbio", 1513
151400001,"Fornecimento, emissão e reemissão de cartão magnético", 1514
151400002,"Renovação de cartão magnético", 1514
151400003,"Manutenção de cartão magnético", 1514
151400004,"Fornecimento, emissão e reemissão de cartão de crédito", 1514
151400005,"Renovação de cartão de crédito", 1514
151400006,"Manutenção de cartão de crédito", 1514
151400007,"Fornecimento, emissão e reemissão de cartão de débito", 1514
151400008,"Renovação de cartão de débito", 1514
151400009,"Manutenção de cartão de débito", 1514
151400010,"Fornecimento, emissão e reemissão de cartão salário", 1514
151400011,"Renovação de cartão salário", 1514
151400012,"Manutenção de cartão salário", 1514
151400013,"Fornecimento, emissão e reemissão de cartões congêneres", 1514
151400014,"Renovação de cartões congêneres", 1514
151400015,"Manutenção de cartões congêneres", 1514
151500001,"Compensação de cheques", 1515
151500002,"Compensação de títulos quaisquer", 1515
151500003,"Serviços relacionados a depósito, inclusive depósito identificado", 1515
151500004,"Serviços relacionados a saque de contas quaisquer, por qualquer meio ou processo.", 1515
151600001,"Emissão/ reemissão de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo", 1516
151600002,"Liquidação de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo", 1516
151600003,"Alteração de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo", 1516
151600004,"Cancelamento de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo", 1516
